# Temporary.  List of images names, the storage account sub-path for each one, and the list of storage accounts that,,,,,
# contain the image.,,,,,,,
# Format:,,,,,,,
# Image Name,Labels,Storage Account Sub Path,Semi-colon delimited list of storage accounts, or All for all storage accounts in StorageAccounts.txt,,,
ImageName,Labels,OSType,Container,BlobName,StorageAccounts,StartupScriptPath,AgentWorkspace
win2016-20170613-internal,win2016-20170613-internal,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170906-osDisk.841deadd-47c0-43b0-9b00-99057fb109bb.vhd,All,./startupScripts/win2016-20170613-internal.ps1,D:\j
win2016-20170712,win2016-20170712,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170831-osDisk.7a6e657d-7846-4425-b5a4-874ed3b870a6.vhd,All,./startupScripts/win2016-20170712.ps1,D:\j
win2016-20170712-internal,win2016-20170712-internal,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170831-osDisk.7a6e657d-7846-4425-b5a4-874ed3b870a6.vhd,All,./startupScripts/win2016-20170712-internal.ps1,D:\j
win2016-20170731,win2016-20170731,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170901-osDisk.6c2f970f-3b32-40dc-bd09-39bb38dd505a.vhd,All,./startupScripts/win2016-20160731.ps1,D:\j
win2016-20170731-internal,win2016-20170731-internal,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170901-osDisk.6c2f970f-3b32-40dc-bd09-39bb38dd505a.vhd,All,./startupScripts/win2016-20160731-internal.ps1,D:\j
win2016-20170802,win2016-20170802,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170905-osDisk.fb1d0194-ae98-4078-9e27-d7379d3e9024.vhd,All,./startupScripts/win2016-20160802.ps1,D:\j
win2016-20170802-internal,win2016-20170802-internal,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170905-osDisk.fb1d0194-ae98-4078-9e27-d7379d3e9024.vhd,All,./startupScripts/win2016-20160802-internal.ps1,D:\j
win2016-20170814,win2016-20170814,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170814-osDisk.0d0b4de0-af40-485b-b037-6f4535e150dc.vhd,All,./startupScripts/win2016-20170814.ps1,D:\j
win2016-20170814-internal,win2016-20170814-internal,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170814-osDisk.0d0b4de0-af40-485b-b037-6f4535e150dc.vhd,All,./startupScripts/win2016-20170814-internal.ps1,D:\j
win2016-20170919,win2016-20170919,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170919-osDisk.be037f44-ef3a-47a8-8bc7-5bc447dffd40.vhd,All,./startupScripts/win2016-20170919.ps1,D:\j
win2016-20170919-internal,win2016-20170919-internal,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20170919-osDisk.be037f44-ef3a-47a8-8bc7-5bc447dffd40.vhd,All,./startupScripts/win2016-20170919-internal.ps1,D:\j
win2016-20171014,win2016-20171014,Windows,system,Microsoft.Compute/Images/dotnetci/win2016-20171014-osDisk.dd535afd-aba9-4098-9745-4e0ec310f466.vhd,All,./startupScripts/win2016-20171014.ps1,D:\j
